recipe_id,recipe_name,recipe_img,prep_time,cook_time,total_time,servings,author_name,author_id,tags,recipe_url,description,instruction,note,created_at,updated_at,ingredient_count,unique_ingredients,complexity_score
1201,Vegan Cookie Dough Bars with Chocolate Chips,https://www.wellplated.com/wp-content/uploads/2017/08/No-Bake-Vegan-Cookie-Dough-Bars.jpg,,,20,1,Well Plated,2,"['Dessert', 'Gluten Free', 'Vegan']",https://www.wellplated.com/vegan-cookie-dough/,"These vegan cookie dough bars with chocolate chips and peanut butter are a no-bake recipe that is healthy, gluten free, and high protein!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,9,9,0.39999999999999997
1202,Slow Cooker Wild Rice Pilaf,https://www.wellplated.com/wp-content/uploads/2017/06/Crockpot-Wild-Rice-Pilaf.jpg,,,225,10,Well Plated,2,"['Gluten Free', 'Dinner', 'Main', 'Side', 'Vegan', 'Vegetarian']",https://www.wellplated.com/wild-rice-pilaf/,"Easy Slow Cooker Wild Rice Pilaf with Corn, Basil, and bell pepper is a summer spin on classic pilaf that's perfect for barbecues and easy dinners. No oven!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,10,10,0.4166666666666667
1203,Slow Cooker Triple Berry Crisp,https://www.wellplated.com/wp-content/uploads/2017/07/Healthy-Triple-Berry-Crisp.jpg,,,130,12,Well Plated,2,"['Dessert', 'Gluten Free', 'Vegan']",https://www.wellplated.com/triple-berry-crisp/,"Triple berry crisp, made easy in a slow cooker! Recipe works with fresh or frozen berries, is healthy compared to most, and can be made gluten free.",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,11,11,0.43333333333333335
1204,Peanut Butter Banana Toast with Granola and Honey,https://www.wellplated.com/wp-content/uploads/2014/08/Peanut-Butter-Crunch-Toast-with-Granola-and-Honey1.jpg,,,5,4,Well Plated,2,"['Breakfast', 'Dinner', 'Main']",https://www.wellplated.com/peanut-butter-banana-toast-granola-honey/,"The best breakfast, after school snack or emergency dinner. Peanut butter banana toast with honey and granola. Crunchy, creamy, sweet, and satisfying!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,5,5,0.3333333333333333
1205,Orange Rosé Wine Cake Soak,https://www.wellplated.com/wp-content/uploads/2018/04/Rose-Wine-Cake-Soak-with-Orange.jpg,,,15,1,Well Plated,2,"['Dessert', 'Gluten Free']",https://www.wellplated.com/orange-rose-wine-cake-soak/,"A cake soak made with fresh orange juice, freduced rosé wine, and butter. Pour it over vanilla cake, pound cake, or bundt cake to make it moist and special!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,5,5,0.3333333333333333
1206,Flourless Peanut Butter Oatmeal Bars,https://www.wellplated.com/wp-content/uploads/2015/01/Easy-Peanut-Butter-Oatmeal-Bars-with-Chocolate-Chips.-Gluten-Free.jpg,,,32,1,Well Plated,2,"['Dessert', 'Gluten Free']",https://www.wellplated.com/peanut-butter-oatmeal-bars/,"An easy, one-bowl recipe for flourless, butter-free peanut butter oatmeal bars with chocolate chips. Soft, chewy and gluten free!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,7,7,0.3666666666666667
1207,Instant Pot Mashed Sweet Potatoes,https://www.wellplated.com/wp-content/uploads/2019/11/Best-Instant-Pot-Mashed-Sweet-Potatoes.jpg,,,35,8,Well Plated,2,"['Gluten Free', 'Side']",https://www.wellplated.com/instant-pot-mashed-sweet-potatoes/,"The best Instant Pot Mashed Sweet Potatoes. Easy, CREAMY method that makes perfect mashed sweet potatoes in half the time! A hassle free, healthy side dish.",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,5,5,0.3333333333333333
1208,Tomato Eggplant Zucchini Bake,https://www.wellplated.com/wp-content/uploads/2015/07/Garlic-Parmesan-Zucchini-Bake-with-Eggplant-and-Tomatoes.-A-stunning-one-bowl-summer-dish.jpg,,,60,6,Well Plated,2,"['Gluten Free', 'Dinner', 'Main', 'Side', 'Vegetarian']",https://www.wellplated.com/tomato-egglant-zucchini-bake/,Tomato Eggplant Zucchini Bake is a gorgeous and easy summer side filled with Italian flavor. A great way to bake eggplant or zucchini!,,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,8,8,0.3833333333333333
1209,Roasted Red Peppers,https://www.wellplated.com/wp-content/uploads/2020/08/Roasted-Bell-Peppers.jpg,,,30,4,Well Plated,2,"['Gluten Free', 'Side', 'Vegan']",https://www.wellplated.com/roasted-red-peppers/,Homemade Roasted Red Peppers taste better than anything from a jar and are easy to make! See the best ways to cook them plus what to do with them.,,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,2,2,0.2833333333333333
1210,Zucchini Ravioli,https://www.wellplated.com/wp-content/uploads/2020/08/Gluten-Free-Zucchini-Ravioli-with-meat.jpg,,,35,8,Well Plated,2,"['Gluten Free', 'Dinner', 'Main']",https://www.wellplated.com/zucchini-ravioli/,"Zucchini ravioli with a ground turkey, ricotta, and Parmesan filling is a healthy low-carb twist on an Italian classic. You won't miss the pasta!",,,2025-04-11 07:51:40.306,2025-04-11 07:51:40.306,13,13,0.4666666666666666
